,Location ID,City,City Area,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
40,LOC_3,Chennai,Ambattur,Ambattur Red Hills Road,Naturals Salon,"2nd Floor, No 1/172A, Thiruvalluvar St, near GNT Road, Red Hills, Padianallur, Chennai, Tamil Nadu 600052, India",13.1914279,80.1854925,4.5,664,ChIJvdtVN6B8UjoRFKrCSVHyVwc,https://www.google.com/maps/place/?q=place_id:ChIJvdtVN6B8UjoRFKrCSVHyVwc,Chennai Ambattur Red Hills RoadNaturals Salon
41,LOC_1,Chennai,Aminijikarai,Aminijikarai,Naturals Salon,"154, 1st Floor, No 24a, Nelson Manickam Rd, near Metha Nagar, Railway Colony, Aminjikarai, Chennai, Tamil Nadu 600029, India",13.0674211,80.22721229999999,4.6,731,ChIJX2cOPjxnUjoRehfttXmstSA,https://www.google.com/maps/place/?q=place_id:ChIJX2cOPjxnUjoRehfttXmstSA,Chennai AminijikaraiNaturals Salon
42,LOC_1,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Salon,"6th Ave, Anna Nagar West, Z Block, I Block, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0925329,80.2088678,4.7,2358,ChIJWSuwwRdkUjoRfGJUB-GDhS4,https://www.google.com/maps/place/?q=place_id:ChIJWSuwwRdkUjoRfGJUB-GDhS4,Chennai Anna Nagar - 6th AvenueNaturals Salon
43,LOC_2,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Salon,"Plot No R48, Door No 157, Tvs Avenue main road, Main Road, Anna Nagar, near Chennai Public School, TVS Colony, Chennai, Tamil Nadu 600101, India",13.0902017,80.1884115,4.8,1534,ChIJURm_4wdkUjoRRje_m9b990g,https://www.google.com/maps/place/?q=place_id:ChIJURm_4wdkUjoRRje_m9b990g,Chennai Anna Nagar - 6th AvenueNaturals Salon
44,LOC_3,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Signature Salon,"Old No.AG-28, New No.59, First Floor, 4th Ave, AG Block, River View Colony, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0820945,80.2159181,4.9,1425,ChIJHc9koLFlUjoRHaEW9qJFvgQ,https://www.google.com/maps/place/?q=place_id:ChIJHc9koLFlUjoRHaEW9qJFvgQ,Chennai Anna Nagar - 6th AvenueNaturals Signature Salon
45,LOC_4,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Salon Anna Nagar West Extension,"Ground Floor, Flat 2 & 4, No-45, opp. to Kalyan Jewellers, Shantiniketan Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",13.0873814,80.193168,4.8,392,ChIJo236Z21lUjoRJmqOvDhKo4g,https://www.google.com/maps/place/?q=place_id:ChIJo236Z21lUjoRJmqOvDhKo4g,Chennai Anna Nagar - 6th AvenueNaturals Salon Anna Nagar West Extension
46,LOC_5,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Signature Salon & Spa Annanagar West,"D-Sector, Anna Nagar West Extension, Chennai, Tamil Nadu 600101, India",13.0929523,80.1970231,4.4,556,ChIJpyVytw9kUjoR5h-yM_dZZss,https://www.google.com/maps/place/?q=place_id:ChIJpyVytw9kUjoR5h-yM_dZZss,Chennai Anna Nagar - 6th AvenueNaturals Signature Salon & Spa Annanagar West
47,LOC_6,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals Salon,"1425, 13th Main Rd, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0903764,80.2006261,4.8,20,ChIJja5TEThlUjoRqgoCEk-Jhx4,https://www.google.com/maps/place/?q=place_id:ChIJja5TEThlUjoRqgoCEk-Jhx4,Chennai Anna Nagar - 6th AvenueNaturals Salon
48,LOC_7,Chennai,Anna Nagar,Anna Nagar - 6th Avenue,Naturals salon,"36PH+QCF, C-73,, C-73, D Block 1st Main Rd, R.V. Nagar, Block C, C Block, Annanagar East, Chennai, Tamil Nadu 600102, India",13.0831269,80.225201,4.2,469,ChIJaQiH1DJhUjoRlxzzTRuXcJU,https://www.google.com/maps/place/?q=place_id:ChIJaQiH1DJhUjoRlxzzTRuXcJU,Chennai Anna Nagar - 6th AvenueNaturals salon
63,LOC_7,Chennai,Annanagar,Annanagar west extension,Naturals Salon,"1/C8, Kamaraj Square, Valaiyapathi Salai Mogappair East, near Padi Pudur Nagar, Mogappair, Chennai, Tamil Nadu 600037, India",13.0814661,80.1880285,4.7,1007,ChIJ9bYgmf9jUjoRFj5jTvo6uDc,https://www.google.com/maps/place/?q=place_id:ChIJ9bYgmf9jUjoRFj5jTvo6uDc,Chennai Annanagar west extensionNaturals Salon
64,LOC_1,Chennai,Arumbakkam,Arumbakkam,Naturals Salon,"1st Floor, No 87, Main Rd, above Pazhamuthir Nilayam, Razaak Garden, MMDA Colony, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.069523,80.2154177,4.5,1193,ChIJt4F0HZpmUjoRX78UoYiNgX0,https://www.google.com/maps/place/?q=place_id:ChIJt4F0HZpmUjoRX78UoYiNgX0,Chennai ArumbakkamNaturals Salon
65,LOC_1,Chennai,Ashok Nagar,Ashok nagar,Naturals Signature Salon Ashok Nagar,"3/47, 11th Ave, opposite to KFC, Ashok Nagar, Chennai, Tamil Nadu 600083, India",13.0321445,80.2108944,4.8,872,ChIJ6cr6nWRnUjoRd8fxeM4MHQ0,https://www.google.com/maps/place/?q=place_id:ChIJ6cr6nWRnUjoRd8fxeM4MHQ0,Chennai Ashok nagarNaturals Signature Salon Ashok Nagar
66,LOC_1,Chennai,Avadi,Avadi,Naturals Salon,"New No 144, 1st Floor, New Military Rd, Thirumalai Rajapuram, Avadi, Tamil Nadu 600054, India",13.1172915,80.09635430000002,4.8,2268,ChIJFd7PaX9iUjoRgT_Eqwyvq-8,https://www.google.com/maps/place/?q=place_id:ChIJFd7PaX9iUjoRgT_Eqwyvq-8,Chennai AvadiNaturals Salon
67,LOC_2,Chennai,Avadi,Avadi,Naturals Salon,"No: 8, 1st Floor, Shanthi Garden, Poonamallee - Avadi High Rd, Paruthippattu, Thiruvallur, Avadi, Tamil Nadu 600071, India",13.0933566,80.1088168,4.8,1196,ChIJMeQDaKNjUjoRXZNgL9dyuDg,https://www.google.com/maps/place/?q=place_id:ChIJMeQDaKNjUjoRXZNgL9dyuDg,Chennai AvadiNaturals Salon
68,LOC_3,Chennai,Avadi,Avadi,Naturals Salon,"2, Chennai - Tiruvallur High Rd, near Pandiyan Ricemill Road, Thiruninravur, Tiruvallur, Tamil Nadu 602024, India",13.1252523,80.0396554,4.8,2265,ChIJ6eRQ0UiJUjoRlG2losOPhPo,https://www.google.com/maps/place/?q=place_id:ChIJ6eRQ0UiJUjoRlG2losOPhPo,Chennai AvadiNaturals Salon
69,LOC_4,Chennai,Avadi,Avadi,Naturals Salon,"38, Chennai - Tiruvallur High Rd, near Mangalam Thirumana Mahal, Ambedkar Nagar, Thirumullaivoyal, Chennai, Tamil Nadu 600062, India",13.1307345,80.1353772,4.7,704,ChIJUbYAzdRjUjoRSjD6RqDd-gU,https://www.google.com/maps/place/?q=place_id:ChIJUbYAzdRjUjoRSjD6RqDd-gU,Chennai AvadiNaturals Salon
70,LOC_5,Chennai,Avadi,Avadi,Naturals Salon,"R12F, 1st Floor, TNHB Layout KK Nagar, Narmada St, opposite A2B, ICF Employees Colony, Ayappakkam, Chennai, Tamil Nadu 600058, India",13.0963692,80.1468482,4.9,910,ChIJ0x60bjxjUjoRjfOiM_uoxy0,https://www.google.com/maps/place/?q=place_id:ChIJ0x60bjxjUjoRjfOiM_uoxy0,Chennai AvadiNaturals Salon
73,LOC_8,Chennai,Avadi,Avadi,"Naturals Salon & Spa, Pattabiram","342, CTH road Chennai, Pattabiram, Tamil Nadu 600072, India",13.1225312,80.06056319999999,4.1,386,ChIJZfEOCVOIUjoRLDvAs5q9EJ0,https://www.google.com/maps/place/?q=place_id:ChIJZfEOCVOIUjoRLDvAs5q9EJ0,"Chennai AvadiNaturals Salon & Spa, Pattabiram"
74,LOC_9,Chennai,Avadi,Avadi,Naturals Salon & Spa Karayanchavadi,"70, Trunk Rd, Karayanchavadi, Poonamallee, Chennai, Tamil Nadu 600056, India",13.0466475,80.1104754,4.1,663,ChIJjyPil8RhUjoRBPR2ZBCU-jw,https://www.google.com/maps/place/?q=place_id:ChIJjyPil8RhUjoRBPR2ZBCU-jw,Chennai AvadiNaturals Salon & Spa Karayanchavadi
75,LOC_10,Chennai,Avadi,Avadi,Naturals Salon,"2nd Floor, 18/1, Mount Poonamallee Rd, next to Slam Gym, Pushpa Nagar, Kattupakkam, Chennai, Tamil Nadu 600056, India",13.0400017,80.12953759999999,4.8,856,ChIJR4OvQohhUjoRqPjtkrOrDvA,https://www.google.com/maps/place/?q=place_id:ChIJR4OvQohhUjoRqPjtkrOrDvA,Chennai AvadiNaturals Salon
84,LOC_9,Chennai,Ayapakkam,"Ayapakkam, ICF Colony",Naturals Thiruverkadu,"No: 85 1st Floor, 4th Street, Thirumalai St, Balaji Nagar, Thiruverkadu, Chennai, Tamil Nadu 600077, India",13.0680103,80.1282791,4.1,293,ChIJAwAA8I5hUjoRe9zdnRu4hE4,https://www.google.com/maps/place/?q=place_id:ChIJAwAA8I5hUjoRe9zdnRu4hE4,"Chennai Ayapakkam, ICF ColonyNaturals Thiruverkadu"
86,LOC_1,Chennai,Aynavaram,Aynavaram,Naturals Salon,"1st Floor, Adarsh Tower, No 328, Konnur High Rd, near Noor Hotel, KK Nagar, Ayanavaram, Chennai, Tamil Nadu 600023, India",13.098621,80.23342799999999,4.7,692,ChIJMVj2hMtlUjoRdo-uWw5n-LE,https://www.google.com/maps/place/?q=place_id:ChIJMVj2hMtlUjoRdo-uWw5n-LE,Chennai AynavaramNaturals Salon
87,LOC_1,Chennai,T.Nagar,Bazullah Road T.Nagar,Naturals Salon,"76, Bazullah Rd, opposite Vivek Signalt Nagar, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0474693,80.23430909999999,4.6,1194,ChIJmbqvIjxnUjoRr2WmnSCysj0,https://www.google.com/maps/place/?q=place_id:ChIJmbqvIjxnUjoRr2WmnSCysj0,Chennai Bazullah Road T.NagarNaturals Salon
88,LOC_1,Chennai,Besant Nagar,Besant Nagar,Naturals Signature Salon,"No T24, Kkv Towers, Annai Velankanni Road, opposite Annai Velankanni Shrine, GOCHS Colony, Besant Nagar, Chennai, Tamil Nadu 600090, India",12.9957438,80.2695854,4.7,2294,ChIJlYM9yqRnUjoR9S1ZxF8HAoU,https://www.google.com/maps/place/?q=place_id:ChIJlYM9yqRnUjoR9S1ZxF8HAoU,Chennai Besant NagarNaturals Signature Salon
91,LOC_3,Chennai,Camp Road,Camp road,Naturals Signature Salon Rajakilpakkam,"No 54, 1st Floor, Velachery Rd, Mahalakshmi Nagar, Selaiyur, Rajakilpakkam, Chennai, Tamil Nadu 600073, India",12.9228199,80.14605399999999,4.7,2308,ChIJTafAZeZeUjoR0pfB8yyigPU,https://www.google.com/maps/place/?q=place_id:ChIJTafAZeZeUjoR0pfB8yyigPU,Chennai Camp roadNaturals Signature Salon Rajakilpakkam
92,LOC_1,Chennai,Chinmaya Nagar,Chinmaya Nagar,Naturals Salon & Spa Chinmaya Nagar,"1st floor, 252, Kaliamman Koil St, Chinmaya Nagar Stage 2, Natesan Nagar, Virugambakkam, Chennai, Tamil Nadu 600092, India",13.0573293,80.1938874,4.9,1041,ChIJnUnpWrZmUjoR-pTB-PebbCg,https://www.google.com/maps/place/?q=place_id:ChIJnUnpWrZmUjoR-pTB-PebbCg,Chennai Chinmaya NagarNaturals Salon & Spa Chinmaya Nagar
93,LOC_1,Chennai,Chitlapakkam,Chitlapakkam,Naturals Salon,"opposite Nilgiris, Rajarajeshwari Nagar, Shanmuga Nagar, Chitlapakkam, Kanchipuram, Chennai, Tamil Nadu 600064, India",12.932305,80.1485675,4.5,691,ChIJiUqBq-ReUjoRIowXn3ZY8qA,https://www.google.com/maps/place/?q=place_id:ChIJiUqBq-ReUjoRIowXn3ZY8qA,Chennai ChitlapakkamNaturals Salon
